Code,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
int-,306,"Bois, Cel., Hfe., Vlc. & Kb. : Transposition de l'accord (Fa - Sol # - La # - Si - Do - Mi b)",,,,,,,,,,,,,,,
mo-,,Cel. & Hfe. : Contrafact A???Sc.2 m. ??5,Beaucoup d'information est trop dans la marge,,,,,,,,,,,,,,
int-,,"Cel., Hfe., Vlc. & Kb. : Double ligne ascendante / descendante",,,,,,,,,,,,,,,
mo-,,"Cel., Hfe., Vlc. & Kb. : Dernière apparition de la lune",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,314,Bois : Silence indique la mort de Wozzeck (en lien avec la déclamation du Doktor),,,,,,,,,,,,,,,
tim-,f,Pk. : gedämpft = étouffé,,,,,,,,,,,,,,,
tim-,,Pk. : Sonorité de glas,,,,,,,,,,,,,,,
int-,,Pk. : 3ce min.,,,,,,,,,,,,,,,
mo-,,"Capitaine : Dernière intervention du Capitaine est un inverse de sa première intervention (« Kommen Sie schnell » - « Langsam, Wozzeck, langsam! »)",,,,,,,,,,,,,,,
tim-,318,Kb. : Relais de la Pk.,,,,,,,,,,,,,,,
tim-,319,Hfe. : Relais de la Kb.,,,,,,,,,,,,,,,
tim-,,Hfe. : stimmt die tiefste Saite nach B = Corde la plus grave sur Si b,,,,,,,,,,,,,,,
int-,,"Kb. : V de Ré min., transition vers l'interlude tonale",,,,,,,,,,,,,,,
